population,mw_p_value,mw_q_value,significant_mw_fdr,welch_p_value,welch_q_value
b_cell,0.055702309738266224,0.13925577434566555,False,0.1712126168905498,0.32108115380440116
cd4_t_cell,0.013344218813937617,0.06672109406968808,False,0.00501266596905098,0.025063329845254896
cd8_t_cell,0.6390858847346418,0.6390858847346418,False,0.7684679826701553,0.7684679826701553
monocyte,0.16315013268752876,0.20393766585941095,False,0.4658442984158955,0.5823053730198693
nk_cell,0.12105079820428571,0.2017513303404762,False,0.1926486922826407,0.32108115380440116
